Gene Name	Accession-1	Accession-2
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11339	b3631	ECK3621
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6423	b0820	ECK0810
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12210	b3620	ECK3610
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6269	b0493	ECK0487
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11451	b3786	ECK3778
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6098	b0190	ECK0190
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11189	b3621	ECK3611
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16688	b4723	ECK4580
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11979	b2038	ECK2032
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10694	b4704	ECK4516
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10820	b1951	ECK1949
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10443	b4518	ECK0996
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11361	b2064	ECK2058
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12444	b1110	ECK1096
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10545	b0181	ECK0180
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12269	b3548	ECK3535
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11458	b3794	ECK3787
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12016	b2135	ECK2128
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11351	b3628	ECK3618
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11916	b3999	ECK3991
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10382	b3729	ECK3722
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11725	b3715	ECK3708
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12666	b0524	ECK0517
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11526	b1460	ECK1454
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11455	b3790	ECK3782
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11315	b3253	ECK3241
