"Pathways"	"Common-Name"
PWY0-1312	"acetate formation from acetyl-CoA I"
COBALSYN-PWY	"adenosylcobalamin salvage from cobinamide I"
FUCCAT-PWY	"fucose degradation"
PWY-6890	"4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis"
PWY-5340	"sulfate activation for sulfonation"
PWY-5669	"phosphatidylethanolamine biosynthesis I"
PWY0-461	"lysine degradation I"
PWY0-1299	"arginine dependent acid resistance"
PWY0-1305	"glutamate dependent acid resistance"
ORNDEG-PWY	"superpathway of ornithine degradation"
PWY-46	"putrescine biosynthesis III"
PWY-6282	"palmitoleate biosynthesis I"
PWY-5971	"palmitate biosynthesis II (bacteria and plants)"
GLUAMCAT-PWY	"<i>N</i>-acetylglucosamine degradation I"
PWY-5965	"fatty acid biosynthesis initiation III"
PWY-5989	"stearate biosynthesis II (bacteria and plants)"
FASYN-ELONG-PWY	"fatty acid elongation -- saturated"
PYRUVOX-PWY	"pyruvate oxidation pathway"
CYANCAT-PWY	"cyanate degradation"
PWY-5155	"&beta;-alanine biosynthesis III"
PWY-5852	"demethylmenaquinol-8 biosynthesis I"
PWY0-1356	"formate to dimethyl sulfoxide electron transfer"
PWY0-1321	"nitrate reduction III (dissimilatory)"
PWY0-1355	"formate to trimethylamine <i>N</i>-oxide electron transfer"
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
PWY0-1352	"nitrate reduction VIII (dissimilatory)"
PWY0-1353	"succinate to cytochrome <i>bd</i> oxidase electron transfer"
PWY0-1334	"NADH to cytochrome <i>bd</i> oxidase electron transfer"
PWY-6894	"thiamin diphosphate biosynthesis I (E. coli)"
PWY0-1329	"succinate to cytochrome <i>bo</i> oxidase electron transfer"
PWY0-1335	"NADH to cytochrome <i>bo</i> oxidase electron transfer"
PWY-7222	"guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"
PWY0-1465	"D-malate degradation"
PWY-7220	"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"
GALACTMETAB-PWY	"galactose degradation I (Leloir pathway)"
PWY-7179	"purine deoxyribonucleosides degradation"
HCAMHPDEG-PWY	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate"
PWY-7219	"adenosine ribonucleotides <i>de novo</i> biosynthesis"
PWY0-1301	"melibiose degradation"
BGALACT-PWY	"lactose degradation III"
PWY0-44	"D-allose degradation"
TRNA-CHARGING-PWY	"tRNA charging"
PWY0-1182	"trehalose degradation II (trehalase)"
PWY0-1466	"trehalose degradation VI (periplasmic)"
PWY0-1415	"superpathway of heme biosynthesis from uroporphyrinogen-III"
HEMESYN2-PWY	"heme biosynthesis from uroporphyrinogen-III II (anaerobic)"
HEME-BIOSYNTHESIS-II	"heme biosynthesis from uroporphyrinogen-III I (aerobic)"
PWY-6690	"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate"
RIBOKIN-PWY	"ribose degradation"
PWY0-1527	"curcumin degradation"
PWY-6961	"L-ascorbate degradation II (bacterial, aerobic)"
DTDPRHAMSYN-PWY	"dTDP-L-rhamnose biosynthesis I"
PPGPPMET-PWY	"ppGpp biosynthesis"
NADPHOS-DEPHOS-PWY	"NAD phosphorylation and dephosphorylation I"
PWY0-981	"taurine degradation IV"
NONOXIPENT-PWY	"pentose phosphate pathway (non-oxidative branch)"
PWY0-301	"L-ascorbate degradation I (bacterial, anaerobic)"
ASPARAGINESYN-PWY	"asparagine biosynthesis II"
ASPASN-PWY	"superpathway of aspartate and asparagine biosynthesis; interconversion of aspartate and asparagine"
ASPARAGINE-DEG1-PWY	"asparagine degradation I"
ALANINE-VALINESYN-PWY	"alanine biosynthesis I"
VALSYN-PWY	"valine biosynthesis"
UDPNAGSYN-PWY	"UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I"
PWY-7176	"UTP and CTP <i>de novo</i> biosynthesis"
PWY-7221	"guanosine ribonucleotides <i>de novo</i> biosynthesis"
ASPARTATESYN-PWY	"aspartate biosynthesis"
MALATE-ASPARTATE-SHUTTLE-PWY	"aspartate degradation II"
GLUTDEG-PWY	"glutamate degradation II"
ASPARAGINE-BIOSYNTHESIS	"asparagine biosynthesis I"
PWY0-1338	"polymyxin resistance"
AST-PWY	"arginine degradation II (AST pathway)"
DAPLYSINESYN-PWY	"lysine biosynthesis I"
PUTDEG-PWY	"putrescine degradation I"
TYRSYN	"tyrosine biosynthesis I"
ALANINE-SYN2-PWY	"alanine biosynthesis II"
PWYCQD-2	"dTDP-<i>N</i>-acetylviosamine biosynthesis"
HISTDEG-PWY	"histidine degradation IV"
GLUTAMINDEG-PWY	"glutamine degradation I"
GLUTSYN-PWY	"glutamate biosynthesis I"
GLUTAMINEFUM-PWY	"glutamine degradation II"
GLUTATHIONESYN-PWY	"glutathione biosynthesis"
PWY-5188	"tetrapyrrole biosynthesis I (from glutamate)"
PWY-2161	"folate polyglutamylation"
HISTSYN-PWY	"histidine biosynthesis"
GLUTSYNIII-PWY	"glutamate biosynthesis III"
PROSYN-PWY	"proline biosynthesis I"
PWY0-1221	"putrescine degradation II"
GLNSYN-PWY	"glutamine biosynthesis I"
ILEUSYN-PWY	"isoleucine biosynthesis I (from threonine)"
LEUSYN-PWY	"leucine biosynthesis"
PHESYN	"phenylalanine biosynthesis I"
RIBOSYN2-PWY	"flavin biosynthesis I (bacteria and plants)"
ARGSYN-PWY	"arginine biosynthesis I (via L-ornithine)"
HOMOSER-THRESYN-PWY	"threonine biosynthesis from homoserine"
HOMOSERSYN-PWY	"homoserine biosynthesis"
PWY-40	"putrescine biosynthesis I"
PWY0-823	"arginine degradation III (arginine decarboxylase/agmatinase pathway)"
GALACTITOLCAT-PWY	"galactitol degradation"
PWY-6387	"UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"
MANNIDEG-PWY	"mannitol degradation I"
PWY0-1535	"D-serine degradation"
HOMOSER-METSYN-PWY	"methionine biosynthesis I"
PWY0-521	"fructoselysine and psicoselysine degradation"
PWY-6151	"<i>S</i>-adenosyl-L-methionine cycle I"
PWY0-1347	"NADH to trimethylamine <i>N</i>-oxide electron transfer"
PWY-6153	"autoinducer AI-2 biosynthesis I"
PWY0-1336	"NADH to fumarate electron transfer"
THRDLCTCAT-PWY	"threonine degradation III (to methylglyoxal)"
PWY0-1348	"NADH to dimethyl sulfoxide electron transfer"
THREONINE-DEG2-PWY	"threonine degradation II"
PWY-6019	"pseudouridine degradation"
PWY-5686	"UMP biosynthesis"
PWY0-1314	"fructose degradation"
GLUTORN-PWY	"ornithine biosynthesis"
LCYSDEG-PWY	"L-cysteine degradation II"
ALADEG-PWY	"alanine degradation I"
SERDEG-PWY	"L-serine degradation"
PWY0-1261	"anhydromuropeptides recycling"
PWY-7346	"UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)"
PEPTIDOGLYCANSYN-PWY	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)"
COLANSYN-PWY	"colanic acid building blocks biosynthesis"
PWY-7344	"UDP-D-galactose biosynthesis"
OANTIGEN-PWY-1	"<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)"
PWY-5194	"siroheme biosynthesis"
BETSYN-PWY	"glycine betaine biosynthesis I (Gram-negative bacteria)"
PWY-6708	"ubiquinol-8 biosynthesis (prokaryotic)"
PWY-4621	"arsenate detoxification II (glutaredoxin)"
PWY0-541	"cyclopropane fatty acid (CFA) biosynthesis"
PWY-7335	"UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis"
PWY0-1507	"biotin biosynthesis from 8-amino-7-oxononanoate I"
PWY-66	"GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
PWY-6268	"adenosylcobalamin salvage from cobalamin"
PWY-5901	"2,3-dihydroxybenzoate biosynthesis"
GLUCONSUPER-PWY	"D-gluconate degradation"
LIPA-CORESYN-PWY	"Lipid A-core biosynthesis"
