"Gene Name"	"Accession-1"
GCQD-961	"ECB_00763"
GCQD-1874	"ECB_01674"
GCQD-3673	"ECB_03438"
GCQD-2860	"ECB_02639"
GCQD-1822	"ECB_01624"
GCQD-3573	"ECB_03339"
GCQD-3699	"ECB_03464"
GCQD-1732	"ECB_01534"
GCQD-3479	"ECB_03245"
GCQD-1501	"ECB_01301"
GCQD-334	"ECB_00156"
GCQD-3241	"ECB_03015"
GCQD-4130	"ECB_03873"
GCQD-3143	"ECB_02918"
GCQD-3082	"ECB_02857"
GCQD-458	"ECB_00272"
GCQD-3034	"ECB_02809"
GCQD-2993	"ECB_02769"
GCQD-455	"ECB_00269"
GCQD-931	"ECB_00733"
GCQD-2917	"ECB_02694"
GCQD-941	"ECB_00743"
GCQD-854	"ECB_00663"
GCQD-2811	"ECB_02589"
GCQD-2840	"ECB_02618"
GCQD-1703	"ECB_01505"
GCQD-754	"ECB_00569"
GCQD-3275	"ECB_03047"
GCQD-2700	"ECB_02483"
GCQD-1618	"ECB_01418"
GCQD-1000	"ECB_00802"
GCQD-699	"ECB_00513"
GCQD-2571	"ECB_02357"
GCQD-1479	"ECB_01279"
GCQD-1562	"ECB_01362"
GCQD-618	"ECB_00432"
GCQD-4113	"ECB_03856"
GCQD-2464	"ECB_02256"
GCQD-1523	"ECB_01323"
GCQD-4527	"ECB_04262"
GCQD-522	"ECB_00336"
GCQD-2402	"ECB_02194"
GCQD-1967	"ECB_01767"
GCQD-1410	"ECB_01209"
GCQD-4521	"ECB_04256"
GCQD-2420	"ECB_02212"
GCQD-2313	"ECB_02106"
GCQD-1340	"ECB_01140"
GCQD-912	"ECB_00714"
GCQD-4411	"ECB_04147"
GCQD-2254	"ECB_02047"
GCQD-2825	"ECB_02603"
GCQD-1255	"ECB_01054"
GCQD-4331	"ECB_04066"
GCQD-3258	"ECB_03032"
GCQD-2213	"ECB_02005"
GCQD-1206	"ECB_01006"
GCQD-3656	"ECB_03421"
GCQD-4239	"ECB_03978"
GCQD-2184	"ECB_01976"
GCQD-1461	"ECB_01261"
GCQD-1120	"ECB_00921"
GCQD-4133	"ECB_03876"
GCQD-4088	"ECB_03839"
GCQD-2072	"ECB_01872"
GCQD-1028	"ECB_00830"
GCQD-4505	"ECB_04243"
GCQD-3983	"ECB_03739"
GCQD-2012	"ECB_01812"
GCQD-1943	"ECB_01743"
GCQD-3935	"ECB_03691"
GCQD-1980	"ECB_01780"
GCQD-2403	"ECB_02195"
GCQD-3779	"ECB_03545"
GCQD-1929	"ECB_01729"
GCQD-3239	"ECB_03013"
GCQD-3747	"ECB_03513"
GCQD-1858	"ECB_01658"
GCQD-1443	"ECB_01243"
GCQD-366	"ECB_00188"
GCQD-1771	"ECB_01573"
GCQD-4071	"ECB_03822"
GCQD-3555	"ECB_03321"
GCQD-3469	"ECB_03235"
GCQD-4489	"ECB_04227"
GCQD-1926	"ECB_01726"
GCQD-2383	"ECB_02175"
GCQD-870	"ECB_00679"
GCQD-2794	"ECB_02572"
GCQD-3224	"ECB_02998"
GCQD-3621	"ECB_03387"
GCQD-4055	"ECB_03806"
GCQD-1909	"ECB_01709"
GCQD-4476	"ECB_04214"
GCQD-2366	"ECB_02158"
GCQD-843	"ECB_00652"
GCQD-278	"ECB_00100"
GCQD-3207	"ECB_02981"
GCQD-3603	"ECB_03369"
GCQD-1399	"ECB_01199"
GCQD-4038	"ECB_03789"
GCQD-1886	"ECB_01686"
GCQD-4459	"ECB_04197"
GCQD-2347	"ECB_02139"
GCQD-823	"ECB_00632"
GCQD-2760	"ECB_02543"
GCQD-3186	"ECB_02960"
GCQD-3589	"ECB_03355"
GCQD-4020	"ECB_03771"
GCQD-1867	"ECB_01667"
GCQD-4442	"ECB_04180"
GCQD-2332	"ECB_02124"
GCQD-795	"ECB_00610"
GCQD-2743	"ECB_02526"
GCQD-317	"ECB_00139"
GCQD-3571	"ECB_03337"
GCQD-1363	"ECB_01163"
GCQD-4006	"ECB_03757"
GCQD-1848	"ECB_01648"
GCQD-4423	"ECB_04160"
GCQD-777	"ECB_00592"
GCQD-2726	"ECB_02509"
GCQD-3153	"ECB_02928"
GCQD-3553	"ECB_03319"
GCQD-1329	"ECB_01129"
GCQD-3982	"ECB_03738"
GCQD-1823	"ECB_01625"
GCQD-4398	"ECB_04135"
GCQD-2295	"ECB_02088"
GCQD-761	"ECB_00576"
GCQD-2706	"ECB_02489"
GCQD-1312	"ECB_01111"
GCQD-3962	"ECB_03718"
GCQD-1807	"ECB_01609"
GCQD-4380	"ECB_04117"
GCQD-2279	"ECB_02072"
GCQD-3116	"ECB_02891"
GCQD-3517	"ECB_03283"
GCQD-1290	"ECB_01089"
GCQD-3941	"ECB_03697"
GCQD-1792	"ECB_01594"
GCQD-2261	"ECB_02054"
GCQD-2670	"ECB_02457"
GCQD-3097	"ECB_02872"
GCQD-350	"ECB_00172"
GCQD-1272	"ECB_01071"
GCQD-3920	"ECB_03676"
GCQD-1775	"ECB_01577"
GCQD-4346	"ECB_04081"
GCQD-692	"ECB_00506"
GCQD-3073	"ECB_02848"
GCQD-3484	"ECB_03250"
GCQD-1251	"ECB_01050"
GCQD-3902	"ECB_03662"
GCQD-1758	"ECB_01560"
GCQD-4328	"ECB_04063"
GCQD-2212	"ECB_02004"
GCQD-2638	"ECB_02424"
GCQD-3057	"ECB_02832"
GCQD-3465	"ECB_03231"
GCQD-1229	"ECB_01029"
GCQD-3886	"ECB_03646"
GCQD-1722	"ECB_01524"
GCQD-431	"ECB_00245"
GCQD-2182	"ECB_01974"
GCQD-2621	"ECB_02407"
GCQD-3033	"ECB_02808"
GCQD-3449	"ECB_03214"
GCQD-1203	"ECB_01003"
GCQD-1696	"ECB_01498"
GCQD-2167	"ECB_01959"
GCQD-629	"ECB_00443"
GCQD-3008	"ECB_02784"
GCQD-3430	"ECB_03195"
GCQD-1184	"ECB_00984"
GCQD-3848	"ECB_03614"
GCQD-1674	"ECB_01476"
GCQD-4273	"ECB_04011"
GCQD-2152	"ECB_01944"
GCQD-611	"ECB_00425"
GCQD-2588	"ECB_02374"
GCQD-2987	"ECB_02763"
GCQD-3416	"ECB_03181"
GCQD-1165	"ECB_00966"
GCQD-3832	"ECB_03598"
GCQD-1651	"ECB_01451"
GCQD-4254	"ECB_03993"
GCQD-2136	"ECB_01928"
GCQD-590	"ECB_00404"
GCQD-257	"ECB_00079"
GCQD-2971	"ECB_02747"
GCQD-3401	"ECB_03166"
GCQD-1144	"ECB_00945"
GCQD-3814	"ECB_03580"
GCQD-1635	"ECB_01435"
GCQD-4235	"ECB_03974"
GCQD-2120	"ECB_01912"
GCQD-572	"ECB_00386"
GCQD-2553	"ECB_02339"
GCQD-295	"ECB_00117"
GCQD-3386	"ECB_03151"
GCQD-1126	"ECB_00927"
GCQD-3793	"ECB_03559"
GCQD-1606	"ECB_01406"
GCQD-422	"ECB_00237"
GCQD-209	"ECB_00031"
GCQD-553	"ECB_00367"
GCQD-2930	"ECB_02706"
GCQD-3369	"ECB_03134"
GCQD-1103	"ECB_00904"
GCQD-3773	"ECB_03539"
GCQD-1587	"ECB_01387"
GCQD-4204	"ECB_03943"
GCQD-534	"ECB_00348"
GCQD-2514	"ECB_02304"
GCQD-2913	"ECB_02690"
GCQD-3345	"ECB_03117"
GCQD-1087	"ECB_00888"
GCQD-3743	"ECB_03509"
GCQD-1565	"ECB_01365"
GCQD-4186	"ECB_03925"
GCQD-2052	"ECB_01852"
GCQD-511	"ECB_00325"
GCQD-2496	"ECB_02288"
GCQD-999	"ECB_00801"
GCQD-2898	"ECB_02675"
GCQD-3327	"ECB_03099"
GCQD-3728	"ECB_03494"
GCQD-1545	"ECB_01345"
GCQD-4169	"ECB_03908"
GCQD-492	"ECB_00306"
GCQD-2479	"ECB_02272"
GCQD-980	"ECB_00782"
GCQD-2874	"ECB_02654"
GCQD-3310	"ECB_03082"
GCQD-1048	"ECB_00850"
GCQD-3712	"ECB_03477"
GCQD-1515	"ECB_01315"
GCQD-4151	"ECB_03890"
GCQD-201	"ECB_00023"
GCQD-2461	"ECB_02253"
GCQD-2857	"ECB_02636"
GCQD-3290	"ECB_03062"
GCQD-1030	"ECB_00832"
GCQD-1496	"ECB_01296"
GCQD-4128	"ECB_03871"
GCQD-1984	"ECB_01784"
GCQD-1493	"ECB_01293"
GCQD-4125	"ECB_03868"
GCQD-1976	"ECB_01776"
GCQD-4540	"ECB_04275"
GCQD-938	"ECB_00740"
GCQD-2837	"ECB_02615"
GCQD-3272	"ECB_03044"
GCQD-3671	"ECB_03436"
GCQD-1476	"ECB_01276"
GCQD-4107	"ECB_03854"
GCQD-4523	"ECB_04258"
GCQD-2418	"ECB_02210"
GCQD-909	"ECB_00711"
GCQD-3255	"ECB_03029"
GCQD-3652	"ECB_03417"
GCQD-1458	"ECB_01258"
GCQD-4085	"ECB_03836"
GCQD-4502	"ECB_04240"
GCQD-1940	"ECB_01740"
GCQD-2399	"ECB_02191"
GCQD-883	"ECB_00692"
GCQD-2808	"ECB_02586"
GCQD-3236	"ECB_03010"
GCQD-3637	"ECB_03402"
GCQD-1438	"ECB_01237"
GCQD-4069	"ECB_03820"
GCQD-867	"ECB_00676"
GCQD-2791	"ECB_02569"
GCQD-3220	"ECB_02994"
GCQD-3615	"ECB_03381"
GCQD-1906	"ECB_01706"
GCQD-4473	"ECB_04211"
GCQD-2359	"ECB_02151"
GCQD-2777	"ECB_02555"
GCQD-3201	"ECB_02975"
GCQD-3600	"ECB_03366"
GCQD-4035	"ECB_03786"
GCQD-1883	"ECB_01683"
GCQD-4455	"ECB_04193"
GCQD-2344	"ECB_02136"
GCQD-813	"ECB_00629"
GCQD-3183	"ECB_02957"
GCQD-1377	"ECB_01177"
GCQD-4018	"ECB_03769"
