"Gene Name"	"Accession-1"
"cecR"	"ECB_00763"
"ydiE"	"ECB_01674"
"ECB_03438"	"ECB_03438"
"queF"	"ECB_02639"
"grxD"	"ECB_01624"
"yhiKL"	"ECB_03339"
"trmL"	"ECB_03464"
"ECB_01534"	"ECB_01534"
"hofO"	"ECB_03245"
"tpx"	"ECB_01301"
"yadS"	"ECB_00156"
"yraN"	"ECB_03015"
"nudC"	"ECB_03873"
"yqiI"	"ECB_02918"
"ECB_02857"	"ECB_02857"
"yahB"	"ECB_00272"
"yeeW"	"ECB_02809"
"yqgB"	"ECB_02769"
"betI"	"ECB_00269"
"ECB_00733"	"ECB_00733"
"yqeH"	"ECB_02694"
"bioF"	"ECB_00743"
"ECB_00663"	"ECB_00663"
"ygbM"	"ECB_02589"
"ygcW"	"ECB_02618"
"ECB_01505"	"ECB_01505"
"ybdM"	"ECB_00569"
"dacB"	"ECB_03047"
"pgeF"	"ECB_02483"
"ydcC"	"ECB_01418"
"rimO"	"ECB_00802"
"ECB_00513"	"ECB_00513"
"ypfG"	"ECB_02357"
"puuE"	"ECB_01279"
"ydbD"	"ECB_01362"
"ybaK"	"ECB_00432"
"tufB"	"ECB_03856"
"smrB"	"ECB_02256"
"xisR"	"ECB_01323"
"lplA"	"ECB_04262"
"yaiA"	"ECB_00336"
"elaA"	"ECB_02194"
"insL-4"	"ECB_01767"
"ychJ"	"ECB_01209"
"yjjI"	"ECB_04256"
"nuoB"	"ECB_02212"
"rtn"	"ECB_02106"
"ymgA"	"ECB_01140"
"modE"	"ECB_00714"
"ECB_04147"	"ECB_04147"
"yehK"	"ECB_02047"
"iap"	"ECB_02603"
"yceO"	"ECB_01054"
"yjfY"	"ECB_04066"
"rpsO"	"ECB_03032"
"ECB_02005"	"ECB_02005"
"yccJ"	"ECB_01006"
"xylR"	"ECB_03421"
"yjdN"	"ECB_03978"
"yegI"	"ECB_01976"
"yciT"	"ECB_01261"
"ycaR"	"ECB_00921"
"yjaG"	"ECB_03876"
"yijO"	"ECB_03839"
"yecR"	"ECB_01872"
"ECB_00830"	"ECB_00830"
"bglJ"	"ECB_04243"
"yigZ"	"ECB_03739"
"yobA"	"ECB_01812"
"ydjJ"	"ECB_01743"
"yigE"	"ECB_03691"
"yoaC"	"ECB_01780"
"rbn"	"ECB_02195"
"yicS"	"ECB_03545"
"ynjH"	"ECB_01729"
"rsmI"	"ECB_03013"
"yicH"	"ECB_03513"
"ydiL"	"ECB_01658"
"insA-11"	"ECB_01243"
"yaeP"	"ECB_00188"
"ydgH"	"ECB_01573"
"ECB_03822"	"ECB_03822"
"dcrB"	"ECB_03321"
"yhfZ"	"ECB_03235"
"hpaF"	"ECB_04227"
"ynjE"	"ECB_01726"
"yfaY"	"ECB_02175"
"ybgD"	"ECB_00679"
"hycD"	"ECB_02572"
"agaV"	"ECB_02998"
"ldrD"	"ECB_03387"
"yiiR"	"ECB_03806"
"nadE"	"ECB_01709"
"hsdS"	"ECB_04214"
"ubiG"	"ECB_02158"
"kdpD"	"ECB_00652"
"mutT"	"ECB_00100"
"tdcE"	"ECB_02981"
"yhjC"	"ECB_03369"
"narL"	"ECB_01199"
"rhaA"	"ECB_03789"
"rpmI"	"ECB_01686"
"iadA"	"ECB_04197"
"alkB"	"ECB_02139"
"umpH"	"ECB_00632"
"gshA"	"ECB_02543"
"uxaA"	"ECB_02960"
"dctR"	"ECB_03355"
"yihY"	"ECB_03771"
"ydiR"	"ECB_01667"
"insB-1"	"ECB_04180"
"ccmE"	"ECB_02124"
"lptE"	"ECB_00610"
"alaE"	"ECB_02526"
"yadV"	"ECB_00139"
"yhiI"	"ECB_03337"
"ycgB"	"ECB_01163"
"yihL"	"ECB_03757"
"sufE"	"ECB_01648"
"insA-7"	"ECB_04160"
"pagP"	"ECB_00592"
"ECB_02509"	"ECB_02509"
"folB"	"ECB_02928"
"tusA"	"ECB_03319"
"purB"	"ECB_01129"
"pepQ"	"ECB_03738"
"mepH"	"ECB_01625"
"ahr"	"ECB_04135"
"nfo"	"ECB_02088"
"uspG"	"ECB_00576"
"tyrA"	"ECB_02489"
"ycfT"	"ECB_01111"
"udp"	"ECB_03718"
"mliC"	"ECB_01609"
"bdcR"	"ECB_04117"
"cdd"	"ECB_02072"
"parC"	"ECB_02891"
"glgX"	"ECB_03283"
"fabG"	"ECB_01089"
"yigG"	"ECB_03697"
"blr"	"ECB_01594"
"btsR"	"ECB_02054"
"acpS"	"ECB_02457"
"hybA"	"ECB_02872"
"uppS"	"ECB_00172"
"flgD"	"ECB_01071"
"aslA"	"ECB_03676"
"rstA"	"ECB_01577"
"ytfE"	"ECB_04081"
"essD"	"ECB_00506"
"glcD"	"ECB_02848"
"igaA"	"ECB_03250"
"lpxL"	"ECB_01050"
"rfe"	"ECB_03662"
"dmsD"	"ECB_01560"
"ulaD"	"ECB_04063"
"ECB_02004"	"ECB_02004"
"trmJ"	"ECB_02424"
"ECB_02832"	"ECB_02832"
"php"	"ECB_03231"
"insE-1"	"ECB_01029"
"ilvG"	"ECB_03646"
"insE-4"	"ECB_01524"
"paoA"	"ECB_00245"
"alkA"	"ECB_01974"
"ispG"	"ECB_02407"
"cbtA"	"ECB_02808"
"ppiA"	"ECB_03214"
"cbpA"	"ECB_01003"
"ydfG"	"ECB_01498"
"gmd"	"ECB_01959"
"cnoX"	"ECB_00443"
"rdgB"	"ECB_02784"
"tusC"	"ECB_03195"
"etk"	"ECB_00984"
"glmU"	"ECB_03614"
"tam"	"ECB_01476"
"yjeH"	"ECB_04011"
"rfbC"	"ECB_01944"
"adk"	"ECB_00425"
"hyfB"	"ECB_02374"
"cmtA"	"ECB_02763"
"gspI"	"ECB_03181"
"helD"	"ECB_00966"
"adeP"	"ECB_03598"
"gadB"	"ECB_01451"
"fumB"	"ECB_03993"
"hisI"	"ECB_01928"
"tesB"	"ECB_00404"
"ilvI"	"ECB_00079"
"argP"	"ECB_02747"
"rplV"	"ECB_03166"
"elfG"	"ECB_00945"
"yidA"	"ECB_03580"
"yddM"	"ECB_01435"
"phnF"	"ECB_03974"
"sbmC"	"ECB_01912"
"bolA"	"ECB_00386"
"eutL"	"ECB_02339"
"acnB"	"ECB_00117"
"secY"	"ECB_03151"
"mukE"	"ECB_00927"
"yidG"	"ECB_03559"
"curA"	"ECB_01406"
"insB-3"	"ECB_00237"
"lspA"	"ECB_00031"
"yajO"	"ECB_00367"
"hyuA"	"ECB_02706"
"yrdD"	"ECB_03134"
"ycaN"	"ECB_00904"
"ECB_03539"	"ECB_03539"
"tehB"	"ECB_01387"
"nrfB"	"ECB_03943"
"phoR"	"ECB_00348"
"yfeC"	"ECB_02304"
"kduD"	"ECB_02690"
"prmA"	"ECB_03117"
"infA"	"ECB_00888"
"recG"	"ECB_03509"
"ynbC"	"ECB_01365"
"alr"	"ECB_03925"
"cheZ"	"ECB_01852"
"yaiW"	"ECB_00325"
"lpxP"	"ECB_02288"
"yliF"	"ECB_00801"
"thyA"	"ECB_02675"
"yhcO"	"ECB_03099"
"rpmB"	"ECB_03494"
"pinQ"	"ECB_01345"
"lamB"	"ECB_03908"
"mhpE"	"ECB_00306"
"mlaA"	"ECB_02272"
"opgE"	"ECB_00782"
"fucK"	"ECB_02654"
"nanK"	"ECB_03082"
"ECB_00850"	"ECB_00850"
"waaF"	"ECB_03477"
"abgA"	"ECB_01315"
"iclR"	"ECB_03890"
"insA-1"	"ECB_00023"
"mepA"	"ECB_02253"
"truC"	"ECB_02636"
"kdsD"	"ECB_03062"
"ECB_00832"	"ECB_00832"
"ompG"	"ECB_01296"
"thiC"	"ECB_03871"
"sdaA"	"ECB_01784"
"ycjT"	"ECB_01293"
"thiS"	"ECB_03868"
"yeaY"	"ECB_01776"
"creC"	"ECB_04275"
"ybhB"	"ECB_00740"
"ygcR"	"ECB_02615"
"rlmE"	"ECB_03044"
"ECB_03436"	"ECB_03436"
"puuR"	"ECB_01276"
"birA"	"ECB_03854"
"deoA"	"ECB_04258"
"nuoE"	"ECB_02210"
"galT"	"ECB_00711"
"deaD"	"ECB_03029"
"xylA"	"ECB_03417"
"pyrF"	"ECB_01258"
"pflD"	"ECB_03836"
"yjjB"	"ECB_04240"
"ydjG"	"ECB_01740"
"menD"	"ECB_02191"
"cydA"	"ECB_00692"
"ygbJ"	"ECB_02586"
"yraI"	"ECB_03010"
"yiaD"	"ECB_03402"
"trpD"	"ECB_01237"
"priA"	"ECB_03820"
"ybgO"	"ECB_00676"
"hycG"	"ECB_02569"
"prlF"	"ECB_02994"
"bcsA"	"ECB_03381"
"chbC"	"ECB_01706"
"mcrC"	"ECB_04211"
"atoB"	"ECB_02151"
"srlD"	"ECB_02555"
"yhaK"	"ECB_02975"
"ccp"	"ECB_03366"
"ECB_03786"	"ECB_03786"
"pheS"	"ECB_01683"
"uxuR"	"ECB_04193"
"eco"	"ECB_02136"
"miaB"	"ECB_00629"
"alx"	"ECB_02957"
"ycgV"	"ECB_01177"
"csqR"	"ECB_03769"
"ydiO"	"ECB_01664"
"rclC"	"ECB_00258"
"rsmA"	"ECB_00055"
"cobC"	"ECB_00607"
"ygaV"	"ECB_02523"
"yqjI"	"ECB_02940"
"dsbB"	"ECB_01160"
"glnL"	"ECB_03754"
"ydhV"	"ECB_01642"
"lpxT"	"ECB_02104"
"dpiB"	"ECB_00589"
"recN"	"ECB_02504"
"ygiM"	"ECB_02925"
"lpxD"	"ECB_00177"
"pepT"	"ECB_01125"
"yhhI-1"	"ECB_00213"
"thrB"	"ECB_00003"
"idnO"	"ECB_04132"
"dsbG"	"ECB_00573"
"raiA"	"ECB_02486"
"cpdA"	"ECB_02904"
"ndh"	"ECB_01105"
"ECB_03712"	"ECB_03712"
"pdxY"	"ECB_01606"
"pyrL"	"ECB_04114"
"yohF"	"ECB_02067"
"fepA"	"ECB_00550"
"yfiC"	"ECB_02469"
"yqhH"	"ECB_02887"
"glgP"	"ECB_03280"
"plsX"	"ECB_01086"
"malY"	"ECB_01591"
"ecpC"	"ECB_00250"
"molR"	"ECB_02045"
"cusR"	"ECB_00532"
"yfhH"	"ECB_02455"
"hybD"	"ECB_02869"
"feoC"	"ECB_03262"
"flgA"	"ECB_01068"
"ytfB"	"ECB_04078"
"insB-15"	"ECB_02023"
"ybcQ"	"ECB_00502"
"murF"	"ECB_00087"
"yadE"	"ECB_00129"
"hofM"	"ECB_03247"
"opgG"	"ECB_01045"
"yafS"	"ECB_00206"
"ynfF"	"ECB_01557"
"ECB_01997"	"ECB_01997"
"folD"	"ECB_00479"
"iscU"	"ECB_02421"
"insB-23"	"ECB_03227"
"pgaA"	"ECB_01026"
"hdfR"	"ECB_03642"
"essQ"	"ECB_01521"
"hflC"	"ECB_04042"
"caiD"	"ECB_00040"
"glxR"	"ECB_00459"
"bamB"	"ECB_02404"
"can"	"ECB_00125"
"argD"	"ECB_03210"
"torA"	"ECB_01000"
"asnC"	"ECB_03627"
"frdA"	"ECB_04026"
"wcaI"	"ECB_01956"
"qmcA"	"ECB_00440"
"bepA"	"ECB_02386"
"yqgF"	"ECB_02779"
"rpsL"	"ECB_03193"
"appC"	"ECB_00981"
"wbbA"	"ECB_01940"
"dnaX"	"ECB_00421"
"gcvR"	"ECB_02371"
"fumE"	"ECB_02760"
"gspF"	"ECB_03178"
"ompA"	"ECB_00961"
"yidZ"	"ECB_03595"
"yddV"	"ECB_01448"
"melR"	"ECB_03989"
"hisH"	"ECB_01925"
"eutS"	"ECB_02353"
"serA"	"ECB_02744"
"rpmC"	"ECB_03163"
"vioB"	"ECB_01941"
"elfA"	"ECB_00942"
"vioA"	"ECB_01942"
"dgoA"	"ECB_03576"
"fdnG"	"ECB_01432"
"phnI"	"ECB_03971"
"insD"	"ECB_01904"
"cyoB"	"ECB_00382"
"hemF"	"ECB_02336"
"lysS"	"ECB_02722"
"rpsK"	"ECB_03148"
"kdsB"	"ECB_00922"
"ivbL"	"ECB_03556"
"ydcX"	"ECB_01402"
"alsK"	"ECB_03956"
"yedV"	"ECB_01883"
"nusB"	"ECB_00364"
"crr"	"ECB_02317"
"ygeX"	"ECB_02704"
"mtn"	"ECB_00158"
"ycaC"	"ECB_00901"
"ykgN"	"ECB_03535"
"opgD"	"ECB_01381"
"otsA"	"ECB_01865"
"sbcC"	"ECB_00345"
"leuD"	"ECB_00073"
"lysR"	"ECB_02687"
"accB"	"ECB_03113"
"cspD"	"ECB_00885"
"rpoZ"	"ECB_03506"
"ydbC"	"ECB_01361"
"pspG"	"ECB_03922"
"rpsT"	"ECB_00027"
"iprA"	"ECB_00322"
"frc"	"ECB_02284"
"recB"	"ECB_02668"
"degS"	"ECB_03095"
"coaD"	"ECB_03491"
"ydfQ-1"	"ECB_01337"
"lpxM"	"ECB_01826"
"mhpC"	"ECB_00303"
"dps"	"ECB_00779"
"ECB_02650"	"ECB_02650"
"gltB"	"ECB_03077"
"tfaE"	"ECB_00847"
"proS"	"ECB_00193"
"ogt"	"ECB_01312"
"aceB"	"ECB_03886"
"yebS"	"ECB_01804"
"prpC"	"ECB_00287"
"fabB"	"ECB_02248"
"clsB"	"ECB_00756"
"gudX"	"ECB_02633"
"mtlD"	"ECB_03455"
