"Enzyme"	"Genes"
GCQD-2023-MONOMER	GCQD-2023
GCQD-342-MONOMER	GCQD-342
GCQD-777-MONOMER	GCQD-777
GCQD-2390-MONOMER	GCQD-2390
GCQD-793-MONOMER	GCQD-793
GCQD-4511-MONOMER	GCQD-4511
GCQD-4514-MONOMER	GCQD-4514
GCQD-2409-MONOMER	GCQD-2409
GCQD-1333-MONOMER	GCQD-1333
GCQD-207-MONOMER	GCQD-207
GCQD-813-MONOMER	GCQD-813
GCQD-2773-MONOMER	GCQD-2773
GCQD-4529-MONOMER	GCQD-4529
GCQD-2423-MONOMER	GCQD-2423
GCQD-4185-MONOMER	GCQD-4185
GCQD-836-MONOMER	GCQD-836
GCQD-2788-MONOMER	GCQD-2788
GCQD-1367-MONOMER	GCQD-1367
GCQD-2107-MONOMER	GCQD-2107
GCQD-2802-MONOMER	GCQD-2802
GCQD-1383-MONOMER	GCQD-1383
GCQD-3151-MONOMER	GCQD-3151
GCQD-1009-MONOMER	GCQD-1009
GCQD-2817-MONOMER	GCQD-2817
GCQD-351-MONOMER	GCQD-351
GCQD-2138-MONOMER	GCQD-2138
GCQD-3864-MONOMER	GCQD-3864
GCQD-2831-MONOMER	GCQD-2831
GCQD-4244-MONOMER	GCQD-4244
GCQD-2152-MONOMER	GCQD-2152
GCQD-1803-MONOMER	GCQD-1803
GCQD-2846-MONOMER	GCQD-2846
GCQD-518-MONOMER	GCQD-518
GCQD-2497-MONOMER	GCQD-2497
GCQD-2167-MONOMER	GCQD-2167
GCQD-1818-MONOMER	GCQD-1818
GCQD-2860-MONOMER	GCQD-2860
GCQD-534-MONOMER	GCQD-534
GCQD-2511-MONOMER	GCQD-2511
GCQD-4268-MONOMER	GCQD-4268
GCQD-1450-MONOMER	GCQD-1450
GCQD-3210-MONOMER	GCQD-3210
GCQD-1073-MONOMER	GCQD-1073
GCQD-2875-MONOMER	GCQD-2875
GCQD-551-MONOMER	GCQD-551
GCQD-2881-MONOMER	GCQD-2881
GCQD-3933-MONOMER	GCQD-3933
GCQD-1849-MONOMER	GCQD-1849
GCQD-324-MONOMER	GCQD-324
GCQD-963-MONOMER	GCQD-963
GCQD-2899-MONOMER	GCQD-2899
GCQD-3948-MONOMER	GCQD-3948
GCQD-1864-MONOMER	GCQD-1864
GCQD-2560-MONOMER	GCQD-2560
GCQD-2913-MONOMER	GCQD-2913
GCQD-3962-MONOMER	GCQD-3962
GCQD-1879-MONOMER	GCQD-1879
GCQD-4329-MONOMER	GCQD-4329
GCQD-2232-MONOMER	GCQD-2232
GCQD-3270-MONOMER	GCQD-3270
GCQD-1138-MONOMER	GCQD-1138
GCQD-3620-MONOMER	GCQD-3620
GCQD-2590-MONOMER	GCQD-2590
GCQD-1909-MONOMER	GCQD-1909
GCQD-3636-MONOMER	GCQD-3636
GCQD-2605-MONOMER	GCQD-2605
GCQD-4358-MONOMER	GCQD-4358
GCQD-1170-MONOMER	GCQD-1170
GCQD-2959-MONOMER	GCQD-2959
GCQD-648-MONOMER	GCQD-648
GCQD-2276-MONOMER	GCQD-2276
GCQD-2973-MONOMER	GCQD-2973
GCQD-2290-MONOMER	GCQD-2290
GCQD-1587-MONOMER	GCQD-1587
GCQD-2663-MONOMER	GCQD-2663
GCQD-336-MONOMER	GCQD-336
GCQD-3017-MONOMER	GCQD-3017
GCQD-371-MONOMER	GCQD-371
GCQD-1252-MONOMER	GCQD-1252
GCQD-3724-MONOMER	GCQD-3724
GCQD-1637-MONOMER	GCQD-1637
GCQD-2692-MONOMER	GCQD-2692
GCQD-235-MONOMER	GCQD-235
GCQD-3739-MONOMER	GCQD-3739
GCQD-2710-MONOMER	GCQD-2710
GCQD-1284-MONOMER	GCQD-1284
GCQD-2026-MONOMER	GCQD-2026
GCQD-764-MONOMER	GCQD-764
GCQD-1672-MONOMER	GCQD-1672
GCQD-2379-MONOMER	GCQD-2379
GCQD-3422-MONOMER	GCQD-3422
GCQD-4137-MONOMER	GCQD-4137
GCQD-377-MONOMER	GCQD-377
GCQD-4497-MONOMER	GCQD-4497
GCQD-2055-MONOMER	GCQD-2055
GCQD-796-MONOMER	GCQD-796
GCQD-3454-MONOMER	GCQD-3454
GCQD-3110-MONOMER	GCQD-3110
GCQD-4173-MONOMER	GCQD-4173
GCQD-823-MONOMER	GCQD-823
GCQD-4531-MONOMER	GCQD-4531
GCQD-2426-MONOMER	GCQD-2426
GCQD-3125-MONOMER	GCQD-3125
GCQD-4188-MONOMER	GCQD-4188
GCQD-209-MONOMER	GCQD-209
GCQD-3821-MONOMER	GCQD-3821
GCQD-457-MONOMER	GCQD-457
GCQD-3483-MONOMER	GCQD-3483
GCQD-4203-MONOMER	GCQD-4203
GCQD-211-MONOMER	GCQD-211
GCQD-473-MONOMER	GCQD-473
GCQD-3498-MONOMER	GCQD-3498
GCQD-4218-MONOMER	GCQD-4218
GCQD-282-MONOMER	GCQD-282
GCQD-489-MONOMER	GCQD-489
GCQD-2140-MONOMER	GCQD-2140
GCQD-505-MONOMER	GCQD-505
GCQD-2155-MONOMER	GCQD-2155
GCQD-3887-MONOMER	GCQD-3887
GCQD-1806-MONOMER	GCQD-1806
GCQD-521-MONOMER	GCQD-521
GCQD-1437-MONOMER	GCQD-1437
GCQD-918-MONOMER	GCQD-918
GCQD-3902-MONOMER	GCQD-3902
GCQD-1820-MONOMER	GCQD-1820
GCQD-2863-MONOMER	GCQD-2863
GCQD-537-MONOMER	GCQD-537
GCQD-2516-MONOMER	GCQD-2516
GCQD-1454-MONOMER	GCQD-1454
GCQD-1076-MONOMER	GCQD-1076
GCQD-3920-MONOMER	GCQD-3920
GCQD-554-MONOMER	GCQD-554
GCQD-3228-MONOMER	GCQD-3228
GCQD-2884-MONOMER	GCQD-2884
GCQD-2549-MONOMER	GCQD-2549
GCQD-1486-MONOMER	GCQD-1486
GCQD-966-MONOMER	GCQD-966
GCQD-2901-MONOMER	GCQD-2901
GCQD-2563-MONOMER	GCQD-2563
GCQD-3257-MONOMER	GCQD-3257
GCQD-3608-MONOMER	GCQD-3608
GCQD-398-MONOMER	GCQD-398
GCQD-2593-MONOMER	GCQD-2593
GCQD-1157-MONOMER	GCQD-1157
GCQD-2946-MONOMER	GCQD-2946
GCQD-2608-MONOMER	GCQD-2608
GCQD-3302-MONOMER	GCQD-3302
GCQD-2961-MONOMER	GCQD-2961
GCQD-651-MONOMER	GCQD-651
GCQD-1558-MONOMER	GCQD-1558
GCQD-2279-MONOMER	GCQD-2279
GCQD-3669-MONOMER	GCQD-3669
GCQD-1574-MONOMER	GCQD-1574
GCQD-2990-MONOMER	GCQD-2990
GCQD-4043-MONOMER	GCQD-4043
GCQD-3346-MONOMER	GCQD-3346
GCQD-4058-MONOMER	GCQD-4058
GCQD-1970-MONOMER	GCQD-1970
GCQD-3698-MONOMER	GCQD-3698
GCQD-2666-MONOMER	GCQD-2666
GCQD-3367-MONOMER	GCQD-3367
GCQD-302-MONOMER	GCQD-302
GCQD-3712-MONOMER	GCQD-3712
GCQD-3381-MONOMER	GCQD-3381
GCQD-734-MONOMER	GCQD-734
GCQD-1640-MONOMER	GCQD-1640
GCQD-4454-MONOMER	GCQD-4454
GCQD-4107-MONOMER	GCQD-4107
GCQD-3741-MONOMER	GCQD-3741
GCQD-2713-MONOMER	GCQD-2713
GCQD-4469-MONOMER	GCQD-4469
GCQD-1287-MONOMER	GCQD-1287
GCQD-767-MONOMER	GCQD-767
GCQD-4484-MONOMER	GCQD-4484
GCQD-2381-MONOMER	GCQD-2381
GCQD-1304-MONOMER	GCQD-1304
GCQD-2043-MONOMER	GCQD-2043
GCQD-1692-MONOMER	GCQD-1692
GCQD-2396-MONOMER	GCQD-2396
GCQD-344-MONOMER	GCQD-344
GCQD-3095-MONOMER	GCQD-3095
GCQD-3457-MONOMER	GCQD-3457
GCQD-826-MONOMER	GCQD-826
GCQD-2429-MONOMER	GCQD-2429
GCQD-3471-MONOMER	GCQD-3471
GCQD-384-MONOMER	GCQD-384
GCQD-859-MONOMER	GCQD-859
GCQD-2129-MONOMER	GCQD-2129
GCQD-1778-MONOMER	GCQD-1778
GCQD-2822-MONOMER	GCQD-2822
GCQD-492-MONOMER	GCQD-492
GCQD-2472-MONOMER	GCQD-2472
GCQD-3516-MONOMER	GCQD-3516
GCQD-1424-MONOMER	GCQD-1424
