"Reaction"	"Enzymes of a reaction"
RXN0-5098	GCQD-4527-MONOMER
1.8.4.8-RXN	GCQD-2829-MONOMER
3.1.3.16-RXN	GCQD-2009-MONOMER // GCQD-2806-MONOMER // GCQD-2185-MONOMER
CHER-RXN	GCQD-2055-MONOMER
MYRISTOYLACYLTRAN-RXN	""
RXN-10656	GCQD-356-MONOMER
RXN-11483	GCQD-3498-MONOMER
RXN-15510	GCQD-906-MONOMER
RXN-17824	GCQD-2348-MONOMER // GCQD-1512-MONOMER
RXN-9531	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN-9558	GCQD-1465-MONOMER
RXN-9659	GCQD-1465-MONOMER
UDPNACETYLGLUCOSAMACYLTRANS-RXN	GCQD-357-MONOMER
2.3.1.179-RXN	GCQD-1292-MONOMER // GCQD-2456-MONOMER
PALMITOTRANS-RXN	GCQD-2496-MONOMER
RXN-10659	GCQD-1290-MONOMER // GCQD-4341-MONOMER
RXN-9535	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN-9632	""
RXN-9662	GCQD-1465-MONOMER
RXN-9729	""
RXN0-2141	GCQD-2456-MONOMER
RXN0-723	GCQD-4369-MONOMER
2.3.1.49-RXN	""
4.2.1.61-RXN	GCQD-356-MONOMER // GCQD-1157-MONOMER
GDPREDUCT-RXN	CPLXCQD-9973 // CPLXCQD-11380
PROTEIN-KINASE-RXN	GCQD-1952-MONOMER // GCQD-3994-MONOMER
RXN-11361	GCQD-991-MONOMER
RXN-18434	GCQD-1263-MONOMER
RXN-9539	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN-9635	GCQD-1465-MONOMER
RXN-9788	GCQD-557-MONOMER // GCQD-4126-MONOMER
RXN0-2145	GCQD-1465-MONOMER
RXN0-745	GCQD-4369-MONOMER
2.7.7.61-RXN	GCQD-767-MONOMER
ACP-S-ACETYLTRANSFER-RXN	GCQD-1288-MONOMER
HOLO-ACP-SYNTH-RXN	GCQD-2670-MONOMER // GCQD-3558-MONOMER
RXN-11476	GCQD-1290-MONOMER // GCQD-4341-MONOMER
RXN-12473	GCQD-1926-MONOMER
RXN-9516	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN-9549	""
RXN0-748	CPLXCQD-11380
1.8.1.4-RXN	GCQD-293-MONOMER
3-OXOACYL-ACP-REDUCT-RXN	GCQD-4341-MONOMER // GCQD-1290-MONOMER
BIOTIN-CARBOXYL-RXN	GCQD-3342-MONOMER
ENOYL-ACP-REDUCT-NADH-RXN	GCQD-1465-MONOMER
LAUROYLACYLTRAN-RXN	GCQD-1251-MONOMER
RXN-11479	GCQD-2456-MONOMER
RXN-9523	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN0-5055	CPLXCQD-10701
RXN0-949	GCQD-782-MONOMER
3.1.2.21-RXN	""
CDPREDUCT-RXN	CPLXCQD-9973 // CPLXCQD-11380
MALONYL-COA-ACP-TRANSACYL-RXN	GCQD-1289-MONOMER
RXN-10655	GCQD-1290-MONOMER
RXN-11482	GCQD-1465-MONOMER
RXN-15509	GCQD-906-MONOMER
RXN-17823	GCQD-2348-MONOMER
