"Pathways"	"Reactions of pathway"
PANTOSYN-PWY	ASPDECARBOX-RXN // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN // PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN
PYRIDOXSYN-PWY	RXN-8447 // 1.1.1.262-RXN // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PNPOXI-RXN
PWY0-845	RXN-8447 // 1.1.1.262-RXN // PSERTRANSAMPYR-RXN // ERYTHRON4PDEHYDROG-RXN // PDXJ-RXN // DXS-RXN // ERYTH4PDEHYDROG-RXN // PYRIDOXKIN-RXN // PMPOXI-RXN // PNPOXI-RXN // PYRAMKIN-RXN // PNKIN-RXN
PLPSAL-PWY	PYRIDOXKIN-RXN // PMPOXI-RXN // PNPOXI-RXN // PYRAMKIN-RXN // PNKIN-RXN
ARGSYN-PWY	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-6164	DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-2161	FORMYLTHFGLUSYNTH-RXN // RXN0-2921 // FOLYLPOLYGLUTAMATESYNTH-RXN // GLYOHMETRANS-RXN // FORMATETHFLIG-RXN
PWY-6543	ADCLY-RXN // PABASYN-RXN
PWY-6612	ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN
PWY0-181	THYKI-RXN // THYM-PHOSPH-RXN // URA-PHOSPH-RXN // DURIDKI-RXN // CYTIDEAM-RXN
PWY-6614	DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN
PWY-6147	GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN
PWY0-163	RXN-11832 // CYTIDINEKIN-RXN // URKI-RXN // CYTDEAM-RXN // CYTIDEAM2-RXN // URPHOS-RXN // CDPKIN-RXN // URACIL-PRIBOSYLTRANS-RXN
KETOGLUCONMET-PWY	RXN0-7021 // RXN0-7020 // 1.1.1.274-RXN // 1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN // 1.1.1.215-RXN // YIAE1-RXN
RHAMCAT-PWY	RXN0-5306 // RXN-15356 // RHAMNISOM-RXN // RHAMNULOKIN-RXN // RHAMNULPALDOL-RXN
IDNCAT-PWY	1.1.1.264-RXN // GLUCONOKIN-RXN // GLUCONATE-5-DEHYDROGENASE-RXN
PWY-6556	URIDINE-NUCLEOSIDASE-RXN // CYTIDEAM2-RXN
PWY-6952	RXN0-5260 // GLYCPDIESTER-RXN
PWY0-1306	RXN0-5229
GALACTCAT-PWY	GALACTONDEHYDRAT-RXN // DEHYDDEOXPHOSGALACT-ALDOL-RXN // DEHYDDEOXGALACTKIN-RXN
PWY0-1315	LACTALDREDUCT-RXN
GLYCEROLMETAB-PWY	2.7.1.121-RXN // GLYCDEH-RXN
PWY-7242	KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
GALACTUROCAT-PWY	GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
PWY-5485	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN
PWY0-381	GLYCPDIESTER-RXN // RXN0-5260 // GLYCEROL-KIN-RXN
PWY0-1317	L-LACTDEHYDROGFMN-RXN // LACTALDDEHYDROG-RXN
PWY-5340	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN
KDO-NAGLIPASYN-PWY	DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // MYRPALMTRAN-RXN // PALMITOTRANS-RXN // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN // KDOTRANS2-RXN // KDOTRANS-RXN
NAGLIPASYN-PWY	UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
KDO-LIPASYN-PWY	MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN
GLYCOCAT-PWY	GLUCOKIN-RXN // RXN0-5183 // RXN0-5182 // RXN0-5146 // PHOSPHOGLUCMUT-RXN // GLYCOPHOSPHORYL-RXN // AMYLOMALT-RXN
