NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b1,0,Lenski strains,Ara-1,1,(x=4.82 y=105.10),1,1,3.757877,4.114437,9.222536,0.97797126,7.8404217,2.0604459358764737,FALSE,young
b2,0,Lenski strains,Ara-1,1,(x=18.18 y=100.41),1,1,4.358836,3.6573741,8.694816,1.3199991,7.953618,3.336685526968202,FALSE,young
b3,0,Lenski strains,Ara-1,1,(x=19.35 y=50.90),1,1,3.7586098,3.7684455,8.722535,1.0684808,8.003543,2.252653043045518,FALSE,young
b4,0,Lenski strains,Ara-1,1,(x=26.37 y=27.25),1,1,3.8633504,3.3189921,8.019637,1.2938564,7.8225627,2.9092229019370373,FALSE,young
b5,0,Lenski strains,Ara-1,1,(x=32.93 y=43.78),1,1,4.2855268,4.454953,9.957407,1.0301193,7.6305366,2.4752370497193703,FALSE,young
b6,0,Lenski strains,Ara-1,1,(x=40.12 y=43.73),1,1,3.8642485,3.7393386,8.6989,1.1149777,7.6475616,2.434029165209562,FALSE,young
b7,0,Lenski strains,Ara-1,1,(x=55.18 y=38.22),1,1,3.2078235,3.7216275,8.4210825,0.9212605,7.6276093,1.6538511742482325,FALSE,young
b8,0,Lenski strains,Ara-1,1,(x=58.85 y=39.98),1,1,3.024622,3.3322647,7.689221,0.9834605,7.6048417,1.6875317700094727,FALSE,young
b9,0,Lenski strains,Ara-1,1,(x=64.31 y=72.95),1,1,3.2206798,3.3446991,7.780777,1.0527728,7.847204,1.9409975496623983,FALSE,young
b10,0,Lenski strains,Ara-1,1,(x=64.91 y=31.80),1,1,3.6085415,3.5769475,8.308127,1.0953802,7.633636,2.247196040683124,FALSE,young
b11,0,Lenski strains,Ara-1,1,(x=65.70 y=83.47),1,1,3.3424358,3.2279856,7.662836,1.1399766,7.843785,2.1964538594410574,FALSE,young
b12,0,Lenski strains,Ara-1,1,(x=66.65 y=115.22),1,1,3.3706062,3.785215,8.584548,0.9522105,7.692223,1.79702908807993,FALSE,young
b14,0,Lenski strains,Ara-1,1,(x=75.01 y=19.47),1,1,4.0018387,3.8799992,8.982661,1.1061922,7.44877,2.4859445771303874,FALSE,young
b15,0,Lenski strains,Ara-1,1,(x=86.20 y=39.21),1,1,4.37415,5.0114636,11.056935,0.91610205,7.4453964,2.202170357823247,FALSE,young
b16,0,Lenski strains,Ara-1,1,(x=89.81 y=33.07),1,1,3.5928493,4.0349746,9.069498,0.9500183,7.508467,1.906792213073882,FALSE,young
b17,0,Lenski strains,Ara-1,1,(x=105.60 y=104.25),1,1,3.079828,2.6784217,6.721878,1.3440037,7.1401734,2.533252651183862,FALSE,young
