repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep1,ribo,Ara-1,ERC_00002,31,1037,1061,2.963639795463369,D,15000,30000,0.5,-1,10,0.761,687427395.1500002
rep1,ribo,Ara-1,ERC_00003,4,999,1023,0.39695107596570944,D,937.5,1875,0.5,-1,10,0.761,42964212.19687501
rep1,ribo,Ara-1,ERC_00004,5,499,523,0.9933720563370335,A,7500,1875,4,2,10,0.761,343713697.5750001
rep1,ribo,Ara-1,ERC_00009,1,960,984,0.1032693033567041,B,937.5,937.5,1,0,10,0.761,42964212.19687501
rep1,ribo,Ara-1,ERC_00012,0,970,994,0,C,0.11444092,0.17166138,0.67,-0.58,10,0.761,5244.65490227797
rep1,ribo,Ara-1,ERC_00013,0,784,808,0,D,0.91552734,1.83105469,0.5,-1,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00014,0,1933,1957,0,D,3.66210938,7.32421875,0.5,-1,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00016,0,820,844,0,C,0.22888184,0.34332275,0.67,-0.58,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00017,0,1112,1136,0,A,0.11444092,0.02861023,4,2,10,0.761,5244.65490227797
rep1,ribo,Ara-1,ERC_00019,0,620,644,0,A,29.296875,7.32421875,4,2,10,0.761,1342631.6311523442
rep1,ribo,Ara-1,ERC_00022,0,727,751,0,D,234.375,468.75,0.5,-1,10,0.761,10741053.049218753
rep1,ribo,Ara-1,ERC_00024,0,512,536,0,C,0.22888184,0.34332275,0.67,-0.58,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00025,0,1970,1994,0,B,58.59375,58.59375,1,0,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00028,1,1106,1130,0.08963700833854968,A,3.66210938,0.91552734,4,2,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00031,0,1114,1138,0,B,1.83105469,1.83105469,1,0,10,0.761,83914.47706159273
rep1,ribo,Ara-1,ERC_00033,0,1998,2022,0,A,1.83105469,0.45776367,4,2,10,0.761,83914.47706159273
rep1,ribo,Ara-1,ERC_00034,0,995,1019,0,B,7.32421875,7.32421875,1,0,10,0.761,335657.90778808604
rep1,ribo,Ara-1,ERC_00035,1,1106,1130,0.08963700833854968,B,117.1875,117.1875,1,0,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00039,0,716,740,0,C,3.66210938,5.49316406,0.67,-0.58,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00040,0,720,744,0,C,0.91552734,1.37329102,0.67,-0.58,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00041,0,1098,1122,0,D,0.22888184,0.45776367,0.5,-1,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00042,1,999,1023,0.09923776899142736,B,468.75,468.75,1,0,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00043,0,999,1023,0,D,468.75,937.5,0.5,-1,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00044,0,1132,1156,0,C,117.1875,175.78125,0.67,-0.58,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00046,4,498,522,0.796293423473381,D,3750,7500,0.5,-1,10,0.761,171856848.78750005
rep1,ribo,Ara-1,ERC_00048,0,968,992,0,D,0.01430512,0.02861023,0.5,-1,10,0.761,655.5820919272113
rep1,ribo,Ara-1,ERC_00051,0,250,274,0,B,58.59375,58.59375,1,0,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00053,0,999,1023,0,B,29.296875,29.296875,1,0,10,0.761,1342631.6311523442
rep1,ribo,Ara-1,ERC_00054,0,250,274,0,C,14.6484375,21.9726563,0.67,-0.58,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00057,0,997,1021,0,C,0.01430512,0.02145767,0.67,-0.58,10,0.761,655.5820919272113
rep1,ribo,Ara-1,ERC_00058,0,1112,1136,0,C,1.83105469,2.74658203,0.67,-0.58,10,0.761,83914.47706159273
rep1,ribo,Ara-1,ERC_00059,0,501,525,0,D,14.6484375,29.296875,0.5,-1,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00060,1,499,523,0.19867441126740668,B,234.375,234.375,1,0,10,0.761,10741053.049218753
rep1,ribo,Ara-1,ERC_00061,0,1112,1136,0,D,0.05722046,0.11444092,0.5,-1,10,0.761,2622.327451138985
rep1,ribo,Ara-1,ERC_00062,1,999,1023,0.09923776899142736,A,58.59375,14.6484375,4,2,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00067,0,620,644,0,B,3.66210938,3.66210938,1,0,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00069,0,1113,1137,0,D,1.83105469,3.66210938,0.5,-1,10,0.761,83914.47706159273
rep1,ribo,Ara-1,ERC_00071,0,618,642,0,C,58.59375,87.890625,0.67,-0.58,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00073,0,579,603,0,B,0.91552734,0.91552734,1,0,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00074,12,498,522,2.388880270420143,C,15000,22500,0.67,-0.58,10,0.761,687427395.1500002
rep1,ribo,Ara-1,ERC_00075,0,999,1023,0,B,0.01430512,0.01430512,1,0,10,0.761,655.5820919272113
rep1,ribo,Ara-1,ERC_00076,2,618,642,0.32083667062277005,C,234.375,351.5625,0.67,-0.58,10,0.761,10741053.049218753
rep1,ribo,Ara-1,ERC_00077,0,249,273,0,D,3.66210938,7.32421875,0.5,-1,10,0.761,167828.95412318545
rep1,ribo,Ara-1,ERC_00078,0,969,993,0,D,29.296875,58.59375,0.5,-1,10,0.761,1342631.6311523442
rep1,ribo,Ara-1,ERC_00079,0,620,644,0,D,58.59375,117.1875,0.5,-1,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00081,0,510,534,0,D,0.22888184,0.45776367,0.5,-1,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00083,0,998,1022,0,A,0.02861023,0.00715256,4,2,10,0.761,1311.1637255694925
rep1,ribo,Ara-1,ERC_00084,0,970,994,0,C,29.296875,43.9453125,0.67,-0.58,10,0.761,1342631.6311523442
rep1,ribo,Ara-1,ERC_00085,0,820,844,0,A,7.32421875,1.83105469,4,2,10,0.761,335657.90778808604
rep1,ribo,Ara-1,ERC_00086,0,996,1020,0,D,0.11444092,0.22888184,0.5,-1,10,0.761,5244.65490227797
rep1,ribo,Ara-1,ERC_00092,2,1100,1124,0.18025187494988354,A,234.375,58.59375,4,2,10,0.761,10741053.049218753
rep1,ribo,Ara-1,ERC_00095,1,497,521,0.19947390588015282,A,117.1875,29.296875,4,2,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00096,31,1083,1107,2.837760358167603,B,15000,15000,1,0,10,0.761,687427395.1500002
rep1,ribo,Ara-1,ERC_00097,0,499,523,0,A,0.45776367,0.11444092,4,2,10,0.761,20978.61915082695
rep1,ribo,Ara-1,ERC_00098,0,1119,1143,0,C,0.05722046,0.08583069,0.67,-0.58,10,0.761,2622.327451138985
rep1,ribo,Ara-1,ERC_00099,0,1326,1350,0,C,14.6484375,21.9726563,0.67,-0.58,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00104,0,1998,2022,0,B,0.22888184,0.22888184,1,0,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00108,0,998,1022,0,A,937.5,234.375,4,2,10,0.761,42964212.19687501
rep1,ribo,Ara-1,ERC_00109,0,512,536,0,B,0.91552734,0.91552734,1,0,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00111,0,970,994,0,C,468.75,703.125,0.67,-0.58,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00112,0,1112,1136,0,D,117.1875,234.375,0.5,-1,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00113,7,816,840,0.850453086466975,C,3750,5625,0.67,-0.58,10,0.761,171856848.78750005
rep1,ribo,Ara-1,ERC_00116,4,1967,1991,0.20160352053367758,A,468.75,117.1875,4,2,10,0.761,21482106.098437507
rep1,ribo,Ara-1,ERC_00117,0,1112,1136,0,B,0.05722046,0.05722046,1,0,10,0.761,2622.327451138985
rep1,ribo,Ara-1,ERC_00120,0,512,536,0,C,0.91552734,1.37329102,0.67,-0.58,10,0.761,41957.2383016539
rep1,ribo,Ara-1,ERC_00123,0,998,1022,0,A,0.22888184,0.05722046,4,2,10,0.761,10489.30980455594
rep1,ribo,Ara-1,ERC_00126,0,1094,1118,0,B,14.6484375,14.6484375,1,0,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00130,68,1035,1059,6.513449394324294,A,30000,7500,4,2,10,0.761,1374854790.3000004
rep1,ribo,Ara-1,ERC_00131,0,747,771,0,A,117.1875,29.296875,4,2,10,0.761,5370526.524609377
rep1,ribo,Ara-1,ERC_00134,0,250,274,0,A,1.83105469,0.45776367,4,2,10,0.761,83914.47706159273
